architecture,run_idx,seed_run,jacobian_norm,cert_rate
hybrid_strict,21,42021,2.3438467979431152,1.0
hybrid_strict,22,42022,2.3915183544158936,1.0
hybrid_strict,23,42023,2.3059794902801514,1.0
hybrid_strict,24,42024,2.3479115962982178,1.0
hybrid_strict,25,42025,2.3915493488311768,1.0
hybrid_strict,26,42026,2.30553936958313,1.0
hybrid_strict,27,42027,2.316956043243408,1.0
hybrid_strict,28,42028,2.388686180114746,1.0
hybrid_strict,29,42029,2.315011739730835,1.0
hybrid_strict,30,42030,2.2934348583221436,1.0
hybrid_strict,31,42031,2.2344918251037598,1.0
hybrid_strict,32,42032,2.3618996143341064,1.0
hybrid_strict,33,42033,2.3592681884765625,1.0
hybrid_strict,34,42034,2.324087142944336,1.0
hybrid_strict,35,42035,2.283764362335205,1.0
hybrid_strict,36,42036,2.498234272003174,1.0
hybrid_strict,37,42037,2.34222412109375,1.0
hybrid_strict,38,42038,2.3099751472473145,1.0
hybrid_strict,39,42039,2.346327781677246,1.0
hybrid_strict,40,42040,2.3337936401367188,1.0
hybrid_strict,41,42041,2.305790901184082,1.0
hybrid_strict,42,42042,2.4390604496002197,1.0
hybrid_strict,43,42043,2.2464799880981445,1.0
hybrid_strict,44,42044,2.420661687850952,1.0
hybrid_strict,45,42045,2.3889973163604736,1.0
hybrid_strict,46,42046,2.414213180541992,1.0
hybrid_strict,47,42047,2.266838788986206,1.0
hybrid_strict,48,42048,2.2926249504089355,1.0
hybrid_strict,49,42049,2.354372501373291,1.0
