conflict_level,entropy_level,run_idx,seed_run,m_vide_emetteur,m_vide_recepteur
0.5,1.0,10,42010,0.5,0.507544412612915
0.5,1.0,11,42011,0.5,0.49409720063209533
0.5,1.0,12,42012,0.5,0.5067111885547638
0.5,1.0,13,42013,0.5,0.5048569405078888
0.5,1.0,14,42014,0.5,0.5010196566581726
0.5,1.0,15,42015,0.5,0.501583354473114
0.5,1.0,16,42016,0.5,0.5067698073387146
0.5,1.0,17,42017,0.5,0.5029500865936279
0.5,1.0,18,42018,0.5,0.4968855011463165
0.5,1.0,19,42019,0.5,0.5080224609375
0.5,1.0,20,42020,0.5,0.49559826612472535
0.5,1.0,21,42021,0.5,0.5035249805450439
0.5,1.0,22,42022,0.5,0.5021584308147431
0.5,1.0,23,42023,0.5,0.49559680819511415
0.5,1.0,24,42024,0.5,0.502653203010559
0.5,1.0,25,42025,0.5,0.5019131684303284
0.5,1.0,26,42026,0.5,0.4931552004814148
0.5,1.0,27,42027,0.5,0.490853054523468
0.5,1.0,28,42028,0.5,0.4938099849224091
0.5,1.0,29,42029,0.5,0.5019872176647187
0.5,1.0,30,42030,0.5,0.506236537694931
0.5,1.0,31,42031,0.5,0.4990610587596893
0.5,1.0,32,42032,0.5,0.4972879195213318
0.5,1.0,33,42033,0.5,0.49984785795211795
0.5,1.0,34,42034,0.5,0.499172625541687
0.5,1.0,35,42035,0.5,0.509659036397934
0.5,1.0,36,42036,0.5,0.5001458811759949
0.5,1.0,37,42037,0.5,0.5066729283332825
0.5,1.0,38,42038,0.5,0.5057271373271942
0.5,1.0,39,42039,0.5,0.5002638232707978
0.5,1.0,40,42040,0.5,0.5085501527786255
0.5,1.0,41,42041,0.5,0.4992431831359863
0.5,1.0,42,42042,0.5,0.5030423927307129
0.5,1.0,43,42043,0.5,0.5080229318141938
0.5,1.0,44,42044,0.5,0.4967888116836548
0.5,1.0,45,42045,0.5,0.5035642397403717
0.5,1.0,46,42046,0.5,0.49445184111595153
0.5,1.0,47,42047,0.5,0.4953044843673706
0.5,1.0,48,42048,0.5,0.4990419864654541
0.5,1.0,49,42049,0.5,0.49070029020309447
0.5,2.0,0,42000,0.5,0.5086944854259491
0.5,2.0,1,42001,0.5,0.5025387990474701
0.5,2.0,2,42002,0.5,0.50486518740654
0.5,2.0,3,42003,0.5,0.49278048634529115
0.5,2.0,4,42004,0.5,0.5023815035820007
