entropy_level,conflict_level,run_idx,seed_run,jacobian_norm,output_entropy,m_vide
<<<<<<< HEAD
0.5,0.0,1,42001,0.12340722978115082,1.3376718725224876,0.0
0.5,0.0,2,42002,0.4622732400894165,1.734155005101607,0.0
0.5,0.0,3,42003,0.4403683841228485,1.5511519680373511,0.0
0.5,0.0,4,42004,0.5215803384780884,0.8623885676054929,0.0
0.5,0.0,5,42005,0.46603313088417053,0.23914112763575485,0.0
0.5,0.0,6,42006,0.5452483296394348,1.2980347244408563,0.0
0.5,0.0,7,42007,0.27849361300468445,0.997426663601222,0.0
0.5,0.0,8,42008,0.4148947298526764,1.8532292648221482,0.0
0.5,0.0,9,42009,0.2814532220363617,2.037196335900537,0.0
1.0,0.0,0,42000,0.36599570512771606,2.098817999109196,0.0
1.0,0.0,1,42001,0.40218478441238403,2.0099980643737547,0.0
1.0,0.0,2,42002,0.27745306491851807,2.314097343682298,0.0
1.0,0.0,3,42003,0.2992839813232422,2.3077688304960544,0.0
1.0,0.0,4,42004,0.4007643461227417,1.8281316850221723,0.0
1.0,0.0,5,42005,0.4987965226173401,1.4542582545593596,0.0
1.0,0.0,6,42006,0.370632529258728,2.0776527279989545,0.0
1.0,0.0,7,42007,0.3524790108203888,2.165753530746518,0.0
1.0,0.0,8,42008,0.2604282796382904,2.401073393678584,0.0
1.0,0.0,9,42009,0.1996624767780304,2.3412484911140474,0.0
2.0,0.0,0,42000,0.22102798521518707,2.557273135248138,0.0
2.0,0.0,1,42001,0.3185642957687378,2.4903741056805266,0.0
2.0,0.0,2,42002,0.17405082285404205,2.5848379519125744,0.0
2.0,0.0,3,42003,0.1829168200492859,2.601700204391138,0.0
2.0,0.0,4,42004,0.23458430171012878,2.47875108298624,0.0
2.0,0.0,5,42005,0.3024863302707672,2.3930748271272027,0.0
2.0,0.0,6,42006,0.21920184791088104,2.513499099172486,0.0
2.0,0.0,7,42007,0.21513406932353973,2.567629270583204,0.0
2.0,0.0,8,42008,0.1695328950881958,2.612695337963131,0.0
2.0,0.0,9,42009,0.14748671650886536,2.5677400400317056,0.0
0.05,0.2,0,42000,1.7091295045901234e-10,0.5004024558294566,0.2
0.05,0.2,1,42001,6.058553503584521e-15,0.5680804384601194,0.2
0.05,0.2,2,42002,0.6963182687759399,1.0549407101858876,0.2
0.05,0.2,3,42003,6.403603765647858e-05,0.5006186245822628,0.2
0.05,0.2,4,42004,0.0009383716387674212,0.5028659947407383,0.2
0.05,0.2,5,42005,3.1773981845617527e-06,0.5004024557743793,0.2
0.05,0.2,6,42006,0.010126146487891674,0.5191602089690607,0.2
0.05,0.2,7,42007,5.708502767709511e-11,0.5004024557908987,0.2
0.05,0.2,8,42008,0.030709875747561455,1.0526042257336854,0.2
0.05,0.2,9,42009,0.13421295583248138,0.717575932521166,0.2
0.1,0.2,0,42000,2.7799867893918417e-05,0.500530209588156,0.2
0.1,0.2,1,42001,1.153460829073083e-07,0.8010004632182993,0.2
