canal,entropy_level,run_idx,seed_run,jacobian_norm,output_entropy,duration_ms
text,0.5,41,42041,0.000930889742448926,10.797536849975586,19.618
text,0.5,42,42042,0.0009314878261648118,10.79767894744873,19.566
text,0.5,43,42043,0.0009353673085570335,10.797178268432617,19.535
text,0.5,44,42044,0.0009287988650612533,10.797405242919922,19.467
text,0.5,45,42045,0.0009230864816345274,10.797504425048828,19.707
text,0.5,46,42046,0.0009267977438867092,10.79746150970459,19.781
text,0.5,47,42047,0.0009286768035963178,10.797329902648926,19.685
text,0.5,48,42048,0.0009289407753385603,10.79727840423584,19.478
text,0.5,49,42049,0.0009332463960163295,10.79759407043457,19.567
text,1.0,0,42000,0.0009004073799587786,10.817176818847656,19.851
text,1.0,1,42001,0.0008981494465842843,10.817242622375488,19.703
text,1.0,2,42002,0.0008988389163278043,10.817068099975586,19.503
text,1.0,3,42003,0.00091660360340029,10.817208290100098,19.642
text,1.0,4,42004,0.0009101900504902005,10.817035675048828,19.689
text,1.0,5,42005,0.0009071545791812241,10.817161560058594,19.684
text,1.0,6,42006,0.0009094662964344025,10.81718921661377,19.657
text,1.0,7,42007,0.0009049248183146119,10.817172050476074,19.518
text,1.0,8,42008,0.0009163692593574524,10.817157745361328,19.4
text,1.0,9,42009,0.0009138984023593366,10.817187309265137,19.683
text,1.0,10,42010,0.0009070308296941221,10.817103385925293,19.726
text,1.0,11,42011,0.0009041826124303043,10.817182540893555,19.607
text,1.0,12,42012,0.0009061049204319715,10.817216873168945,19.589
text,1.0,13,42013,0.0009052276145666838,10.817076683044434,19.478
text,1.0,14,42014,0.0009028870263136923,10.817179679870605,19.573
text,1.0,15,42015,0.0009017997072078288,10.817209243774414,19.652
text,1.0,16,42016,0.0009183145593851805,10.817138671875,19.674
text,1.0,17,42017,0.0009123722556978464,10.817124366760254,19.562
text,1.0,18,42018,0.0009106133366003633,10.817133903503418,19.835
text,1.0,19,42019,0.000911661540158093,10.81708812713623,19.96
text,1.0,20,42020,0.0009155843290500343,10.817219734191895,19.859
text,1.0,21,42021,0.0009122408810071647,10.81717586517334,19.583
text,1.0,22,42022,0.0009083198383450508,10.817083358764648,19.603
text,1.0,23,42023,0.0009156782180070877,10.817136764526367,19.423
text,1.0,24,42024,0.0009108697413466871,10.817119598388672,19.511
text,1.0,25,42025,0.000904332846403122,10.81712818145752,19.67
text,1.0,26,42026,0.0009089342202059925,10.817068099975586,21.191
text,1.0,27,42027,0.0009272483293898404,10.817121505737305,19.601
text,1.0,28,42028,0.0009114754502661526,10.817111015319824,19.911
text,1.0,29,42029,0.0009003890445455909,10.8172025680542,19.906
text,1.0,30,42030,0.0009195011807605624,10.817166328430176,19.883
text,1.0,31,42031,0.0009120304021053016,10.81718635559082,20.096
text,1.0,32,42032,0.0009148184326477349,10.817130088806152,19.981
text,1.0,33,42033,0.0009127834346145391,10.817052841186523,19.809
text,1.0,34,42034,0.0009142500930465758,10.817127227783203,19.6
text,1.0,35,42035,0.0009159003966487944,10.817094802856445,19.824
text,1.0,36,42036,0.0009173483704216778,10.817225456237793,19.483
text,1.0,37,42037,0.0009151321719400585,10.817127227783203,19.33
text,1.0,38,42038,0.0009102416806854308,10.817208290100098,19.673
text,1.0,39,42039,0.000911752984393388,10.817203521728516,19.742
text,1.0,40,42040,0.0008988480549305677,10.817219734191895,19.568
text,1.0,41,42041,0.0009111104300245643,10.817187309265137,19.447
text,1.0,42,42042,0.0009090820676647127,10.817217826843262,19.606
text,1.0,43,42043,0.0009112866246141493,10.817081451416016,19.746
text,1.0,44,42044,0.000908924441318959,10.817148208618164,19.642
text,1.0,45,42045,0.0009065531194210052,10.817170143127441,19.596
text,1.0,46,42046,0.0009079556330107152,10.817150115966797,19.598
text,1.0,47,42047,0.0009074850822798908,10.817133903503418,19.576
text,1.0,48,42048,0.0009072298998944461,10.817112922668457,19.64
text,1.0,49,42049,0.000911401177290827,10.817198753356934,19.538
text,2.0,0,42000,0.0008990521309897304,10.822846412658691,19.631
text,2.0,1,42001,0.000897964695468545,10.82286548614502,19.718
text,2.0,2,42002,0.0008980889106169343,10.822821617126465,19.629
text,2.0,3,42003,0.0009069219813682139,10.822854995727539,19.609
text,2.0,4,42004,0.0009044017642736435,10.822813034057617,19.81
text,2.0,5,42005,0.0009025296312756836,10.82284164428711,19.446
text,2.0,6,42006,0.0009037439594976604,10.822850227355957,19.58
text,2.0,7,42007,0.0009009833447635174,10.822843551635742,19.356
text,2.0,8,42008,0.0009069720981642604,10.82284164428711,19.663
text,2.0,9,42009,0.0009061114396899939,10.822853088378906,19.647
text,2.0,10,42010,0.0009022343438118696,10.822830200195312,19.662
text,2.0,11,42011,0.0009015645482577384,10.822851181030273,19.747
text,2.0,12,42012,0.0009017825359478593,10.822861671447754,19.344
text,2.0,13,42013,0.0009015803225338459,10.822822570800781,19.654
text,2.0,14,42014,0.0009000731515698135,10.82284927368164,19.743
text,2.0,15,42015,0.0008998736157082021,10.822858810424805,19.709
text,2.0,16,42016,0.0009081594180315733,10.822835922241211,19.744
text,2.0,17,42017,0.0009057648712769151,10.822833061218262,19.69
